concept_id,semantic_pack,domain,english_gloss,swahili_gloss,part_of_speech,category,phrase_type,tags,notes,luo,ki,kam,luy,kal,mas,dav,tvs,som,orm,coh,dig,dug,ebu,nyf,guz,x-ke-hin,x-ke-kur,mer,orc,x-ke-pok,rra,rel,saq,x-sheng,sxb,x-ke-trk,bxk,rag,lto,sgc,niq,pko,spy,tuy
FD_001_RICE,food,food,rice,wali/mchele,noun,noun,,staple,Grain,Mchele,M?ceere,M?ceere,Omucere,Wali,Wali,Wali / Mchele,Wali,Bariis,Ruuzii,Wali,Wali,Wali,M?ceere,Wali,Omosima,Chaval,,M?ceere,,,,,Wali,Wali,,Wali,Omucere,Wali,,Wali,Wali,,,
FD_002_BREAD,food,food,bread,mkate,noun,noun,,food_item,Staple,Mkate,M?kate,M?kate,Omukate,Mkate,Mkate,Mkate,Mkate,Rootii,Daabboo,Mkate,Mkate,Mkate,M?kate,Mkate,Omokate,Roti / Bread,,M?kate,,,,,Mkate,Mkate,,Mkate,Omukate,Mkate,,Mkate,Mkate,,,
FD_003_WATER,food,food,water,maji,noun,noun,,liquid,Essential,Pi,Maa?,Ma?,Amayi,Ng'etit,Enkare,Maji,Maji,Biyo,Bishaan,Maji,Maji,Maji,Maa?,Maji,Amache,Paani,,Maa?,,,,,Enkare,Maji,,Akuj,Amayi,Maji,,Ng'etit,Ng'etit,Ng'atuk,,
FD_004_MILK,food,food,milk,maziwa,noun,noun,,liquid,Dairy,Chak,M?kwa,M?kwa,Amafi,Mamus,Enkushu,Maziwa,Maziwa,Caano,Aannan,Maziwa,Maziwa,Maziwa,M?kwa,Maziwa,Amache,Doodh,,M?kwa,,,,,Enkushu,Maziwa,,Ekicholong,Amafi,Maziwa,,Mamus,Mamus,,,
FD_005_MEAT,food,food,meat,nyama,noun,noun,,protein,Food,Ringo,Nyama,Nyama,Enyama,Chemeli,Enkima,Nyama,Nyama,Hilib,Foon,Nyama,Nyama,Nyama,Nyama,Nyama,Enyama,Gosht,,Nyama,,,,,Enkima,Nyama,,Ebeya,Enyama,Nyama,,Chemeli,Chemeli,,,
FD_006_VEGETABLES,food,food,vegetables,mboga,noun,noun,,food_item,Plant-based,Alot,M?boga,Mboga,Emboga,Mboga,Mboga,Mboga,Mboga,Khudaar,Muduraa,Mboga,Mboga,Mboga,M?boga,Mboga,Emboga,Sabzi,,M?boga,,,,,,Mboga,,,Emboga,Mboga,,,,,,
FD_007_FRUIT,food,food,fruit,matunda,noun,noun,,food_item,Plant-based,Olemo,Tunda,Tunda,Etunda,Tunda,Enkiama,Tunda / Matunda,Matunda,Khudaar macaan,Fuduraa,Tunda,Tunda,Tunda,Tunda,Tunda,Etunda,Phal,,Tunda,,,,,,Matunda,,,Etunda,Tunda,,,,,,
FD_008_HONEY,food,food,honey,asali,noun,noun,,food_item,Natural sweetener,Moo kich,?ki,?ki,Uki,Mees,Enkiama,Asali,Asali,Malab,Damma,Asali,Asali,Asali,?ki,Asali,Oboaki,Shahad,,?ki,,,,,,Asali,,Emoru,Uki,Asali,,Mees,Mees,,,
FD_009_SALT,food,food,salt,chumvi,noun,noun,,seasoning,Mineral,Chumbi,Chumvi,Nguu,Omunguu,Kimyet,Enkiama,Chumvi,Chumvi,Cusbo,Soogidda,Chumvi,Chumvi,Chumvi,Chumvi,Chumvi,Omonguu,Namak,,Chumvi,,,,,,Chumvi,,Ngatuk,Omunguu,Chumvi,,Kimyet,Kimyet,,,
FD_010_FIRE,food,food,fire,moto,noun,noun,,cooking,Element,Mach,Mwaki,Mwaki,Omuliro,Ngechek,Enkidong'oi,Moto,Moto,Dab,Ibiddaa,Moto,Moto,Moto,Mwaki,Moto,Omotooro,Aag,,Mwaki,,,,,Enkidong'oi,Moto,,Ekeny,Omuliro,Moto,,Ngechek,Ngechek,,,
BD_001_HEAD,body_parts,body_parts,head,kichwa,noun,noun,,anatomy,Major body part,Wich,M?twe,M?twe,Omutwe,Kweet,Engare,Kichwa,Kichwa,Madax,Mataa,Kichwa,Kichwa,Kichwa,M?twe,Kichwa,Omosesa,Sar,,M?twe,,,,,Engolong,Kichwa / Dome,,Apuro,Omutwe,Kichwa,,Kweet,Kweet,Akwaar,Kweet,Kweet
BD_002_EYES,body_parts,body_parts,eyes,macho,noun,noun,,anatomy,Sense organ,Wang',Itho,?tho,Eliho,Moek,Enkit,Macho,Macho,Indhaha,Ija,Macho,Macho,Macho,?tho,Macho,Amariiso,Aankhein,,?tho,,,,,Enkit,Macho,,Ekapu,Eliho,Macho,,Moek,Moek,Aker,Moek,Moek
BD_003_EARS,body_parts,body_parts,ears,masikio,noun,noun,,anatomy,Sense organ,It,?th?,?th?,Elimbe,Kurunet,Enkiitoi,Masikio,Masikio,Dhegaha,Gurra,Masikio,Masikio,Masikio,?th?,Masikio,Amoseke,Kaan,,?th?,,,,,Enkiitoi,Masikio,,Ngikamarin,Elimbe,Masikio,,Kurunet,Kurunet,,,
BD_004_NOSE,body_parts,body_parts,nose,pua,noun,noun,,anatomy,Sense organ,Um,Iny?,?ny?,Inywe,Nguung,Enkuuo,Pua,Pua,San,Funyoo,Pua,Pua,Pua,?ny?,Pua,Empua,Naak,,?ny?,,,,,Nkuuo,Pua,,Ekudu,Inywe,Pua,,Nguung,Nguung,,Nguung,Nguung
BD_005_MOUTH,body_parts,body_parts,mouth,kinywa,noun,noun,,anatomy,Sensory/eating,Dhok,Kanua,Kanua,Olunwa,Nguut,Enkiama,Mdomo,Mdomo,Afka,Afaan,Mdomo,Mdomo,Mdomo,Kanua,Mdomo,Omonwa,Munh,,Kanua,,,,,,Mdomo,,Ngikapur,Olunwa,Mdomo,,Nguut,Nguut,,Nguut,Nguut
BD_006_TEETH,body_parts,body_parts,teeth,meno,noun,noun,,anatomy,Mouth part,Lak,M?no,M?no,Amino,Ng'omiet,Enkilit,Meno,Meno,Ilkaha,Ilkaan,Meno,Meno,Meno,M?no,Meno,Ameno,Daant,,M?no,,,,,Enkilit,Meno,,Ngikabang,Amino,Meno,,Ng'omiet,Ng'omiet,,,
BD_007_TONGUE,body_parts,body_parts,tongue,ulimi,noun,noun,,anatomy,Mouth part,Lep,R?r?mi,?limi,Olulimi,Arawet,Enkiama,Ulimi,Ulimi,Carrab,Arraba,Ulimi,Ulimi,Ulimi,?limi,Ulimi,Orulimi,Jeebh,,?limi,,,,,,Ulimi,,Elongit,Olulimi,Ulimi,,Arawet,Arawet,,,
BD_008_THROAT,body_parts,body_parts,throat,koo,noun,noun,,anatomy,Esophageal,Olok,Koo,Koo,Okoo,Ang'etunet,Enkiama,Koo,Koo,Cundhur,Qoonqee,Koo,Koo,Koo,Koo,Koo,Okoo,Gala,,Koo,,,,,,Koo,,,Okoo,Koo,,,,,,
BD_009_HANDS,body_parts,body_parts,hands,mikono,noun,noun,,anatomy,Limb,Bat,M?guoko,M?kono,Amikono,Ngalek,Enkiama,Mikono,Mikono,Gacmaha,Harki,Mikono,Mikono,Mikono,M?guoko,Mikono,Amokono,Haath,,M?guoko,,,,,,Mikono,,Ngakimuj,Amikono,Mikono,,Ngalek,Ngalek,,Ngalek,Ngalek
BD_010_FEET,body_parts,body_parts,feet,miguu,noun,noun,,anatomy,Limb,Tielo,M?guu,M?guu,Amagulu,Suk,Enkiama,Miguu,Miguu,Cagaha,Miila,Miguu,Miguu,Miguu,M?guu,Miguu,Amagoro,Paer,,M?guu,,,,,,Miguu,,Ngikapur,Amagulu,Miguu,,Suk,Suk,,,
CL_001_SHIRT,clothing,clothing,shirt,shati,noun,noun,,garment,Torso covering,Shati,Shati,Shati,Eshati,Shati,Shati,Shati,Shati,Shaati,Shati,Shati,Shati,Shati,Shati,Shati,Eshati,Kamiiz,,Shati,,,,,Shati,Shati,,Shati,Eshati,Shati,,Shati,Shati,Shati,Shati,Shati
CL_002_TROUSERS,clothing,clothing,trousers,suruali,noun,noun,,garment,Lower body,Suruali,Suruali,Suruali,Esuruali,Suruali,Suruali,Suruali,Suruali,Surwaal,Suruurii,Suruali,Suruali,Suruali,Suruali,Suruali,Esuruali,Patloon,,Suruali,,,,,Suruali,Suruali / Traus,,Suruali,Esuruali,Suruali,,Suruali,Suruali,Suruali,Suruali,Suruali
CL_003_DRESS,clothing,clothing,dress,gauni,noun,noun,,garment,Full body,Gauni,Gauni,Gauni,Egauni,Gauni,Enkiama,Gauni,Gauni,Gawaan,Uffata,Gauni,Gauni,Gauni,Gauni,Gauni,Egauni,Frok,,Gauni,,,,,,Gauni,,,Egauni,Gauni,,,,,,
CL_004_HAT,clothing,clothing,hat,kofia,noun,noun,,accessory,Head covering,Kofia,Kofiya,Kofiya,Ekofia,Kofia,Enkiama,Kofia,Kofia,Koofiyad,Fokkotaa,Kofia,Kofia,Kofia,Kofiya,Kofia,Ekofia,Topi,,Kofiya,,,,,,Kofia,,,Ekofia,Kofia,,,,,,
CL_005_SHOE,clothing,clothing,shoe,kiapu/viatu,noun,noun,,footwear,Foot protection,Wuoch,Kiatu,Kiatu,Ekiatu,Kiatu,Enkiama,Kiatu,Kiatu,Kab,Kophee,Kiatu,Kiatu,Kiatu,Kiatu,Kiatu,Ekiatu,Juta,,Kiatu,,,,,,Kiatu / Shoe,,,Ekiatu,Kiatu,,,,,,
CL_006_JACKET,clothing,clothing,jacket,jaketi,noun,noun,,garment,Outer layer,Jaketi,Jaketi,Jaketi,Ejaketi,Jaketi,Jaketi,Jaketi,Jaketi,Jaakeet,Jaakeetii,Jaketi,Jaketi,Jaketi,Jaketi,Jaketi,Ejaketi,Jacket,,Jaketi,,,,,Jaketi,Jaketi,,Jaketi,Ejaketi,Jaketi,,Jaketi,Jaketi,,,
CL_007_COAT,clothing,clothing,coat,koti,noun,noun,,garment,Heavy outer,Koti,Koti,Koti,Ekoti,Koti,Koti,Koti,Koti,Kood,Kootii,Koti,Koti,Koti,Koti,Koti,Ekoti,Coat,,Koti,,,,,Koti,Koti / Coat,,Koti,Ekoti,Koti,,Koti,Koti,,,
CL_008_SCARF,clothing,clothing,scarf,kanga/kitambaa,noun,noun,,accessory,Neck/body wrap,Kitambaa,Kitambaa,Kitambaa,Ekitambaa,Kitambaa,Enkiama,Kitambaa / Kanga,Kitambaa,Shaalin,Suphee,Kitambaa,Kitambaa,Kitambaa,Kitambaa,Kitambaa,Ekitambaa,Dupatta / Scarf,,Kitambaa,,,,,,Kitambaa,,,Ekitambaa,Kitambaa,,,,,,
CL_009_BELT,clothing,clothing,belt,upinde/mkanda,noun,noun,,accessory,Waist,Mkanda,M?kanda,Mkanda,Omukanda,Mkanda,Enkiama,Mkanda,Mkanda,Suun,Garbaannoo,Mkanda,Mkanda,Mkanda,M?kanda,Mkanda,Omokanda,Belt / Peti,,M?kanda,,,,,,Mkanda / Belt,,,Omukanda,Mkanda,,,,,,
CL_010_SOCKS,clothing,clothing,socks,soksi,noun,noun,,footwear,Foot covering,Soksi,Soksi,Soksi,Esoksi,Soksi,Soksi,Soksi,Soksi,Sharaabadh,Sokisii,Soksi,Soksi,Soksi,Soksi,Soksi,Esoksi,Moje,,Soksi,,,,,Soksi,Soksi,,Soksi,Esoksi,Soksi,,Soksi,Soksi,,,
TL_001_KNIFE,tools,tools,knife,kisu,noun,noun,,weapon/tool,Sharp tool,Pala,K?isu,K?isu,Ekisu,Tililet,Olkejek,Kisu,Kisu,Mindi,Qottoo,Kisu,Kisu,Kisu,K?isu,Kisu,Ekisu,Chaaku,,K?isu,,,,,Olkejek,Kisu,,Ekimat,Ekisu,Kisu,,Tililet,Tililet,,,
TL_002_AXE,tools,tools,axe,shoka,noun,noun,,tool,Chopping,Bulo,Shoka,Shoka,Eshoka,Taparet,Enkiama,Shoka,Shoka,Faas,Qottoo,Shoka,Shoka,Shoka,Shoka,Shoka,Eshoka,Kulhari,,Shoka,,,,,,Shoka,,Ngikobong,Eshoka,Shoka,,Taparet,Taparet,,,
TL_003_HAMMER,tools,tools,hammer,nyundo,noun,noun,,tool,Striking,Nyundo,Nyundo,Nyundo,Enyundo,Nyundo,Enkiama,Nyundo,Nyundo,Dukumo,Kaasaa,Nyundo,Nyundo,Nyundo,Nyundo,Nyundo,Enyundo,Hatotha,,Nyundo,,,,,,Nyundo,,,Enyundo,Nyundo,,,,,,
TL_004_ROPE,tools,tools,rope,kamba,noun,noun,,tool,Binding,Tol,Kamba,Kamba,Ekamba,Kimnget,Enkiama,Kamba,Kamba,Xadhig,Lubuu,Kamba,Kamba,Kamba,Kamba,Kamba,Ekamba,Rassi,,Kamba,,,,,,Kamba,,,Ekamba,Kamba,,Kimnget,Kimnget,,,
TL_005_BUCKET,tools,tools,bucket,ndoo,noun,noun,,container,Carrying water,Ndoo,Ndoo,Ndoo,Endoo,Ndoo,Ndoo,Ndoo,Ndoo,Baaldi,Baaldii,Ndoo,Ndoo,Ndoo,Ndoo,Ndoo,Endoo,Balti,,Ndoo,,,,,Ndoo,Ndoo,,Ndoo,Endoo,Ndoo,,Ndoo,Ndoo,,,
TL_006_POT,tools,tools,pot,sufuria,noun,noun,,container,Cooking,Agulu,Sufuria,Sufuria,Esufuria,Sufuria,Enkiama,Sufuria,Sufuria,Digsi,Biqilaa,Sufuria,Sufuria,Sufuria,Sufuria,Sufuria,Esufuria,Bartan,,Sufuria,,,,,,Sufuria,,,Esufuria,Sufuria,,,,,,
TL_007_PAN,tools,tools,pan,karai,noun,noun,,container,Cooking,Karai,Karai,Karai,Ekarai,Karai,Karai,Karai,Karai,Macellin,Karaayii,Karai,Karai,Karai,Karai,Karai,Ekarai,Tawaah,,Karai,,,,,,Karai,,,Ekarai,Karai,,,,,,
TL_008_SPOON,tools,tools,spoon,kijiko,noun,noun,,utensil,Eating/cooking,Kijiko,Kijiko,Kijiko,Ekijiko,Kijiko,Enkiama,Kijiko,Kijiko,Fandhaal,Sibiree,Kijiko,Kijiko,Kijiko,Kijiko,Kijiko,Ekijiko,Chammach,,Kijiko,,,,,,Kijiko,,,Ekijiko,Kijiko,,,,,,
TL_009_FORK,tools,tools,fork,uma,noun,noun,,utensil,Eating,Uma,Uma,Uma,Euma,Uma,Uma,Uma,Uma,Fargeeto,Foorkii,Uma,Uma,Uma,Uma,Uma,Euma,Kaanta,,Uma,,,,,,Uma / Fork,,,Euma,Uma,,,,,,
TL_010_CUP,tools,tools,cup,kikombe,noun,noun,,container,Drinking,Kikombe,Kikombe,Kikombe,Ekikombe,Kikombe,Enkiama,Kikombe,Kikombe,Koob,Kuphii,Kikombe,Kikombe,Kikombe,Kikombe,Kikombe,Ekikombe,Kap,,Kikombe,,,,,,Kikombe,,,Ekikombe,Kikombe,,,,,,
VB_001_EAT,verbs,verbs,eat,kula,verb,verb,,action,Food consumption,Chamo,G?ria,K?ria,Kulya,Amchi,Aadol,Kula,Kula,Cunida,Nyaachuu,Kula,Kula,Kula,G?ria,Kula,Orya,Khaana khaanaa,,G?ria,,,,,Aadol,Kula,,Ayam,Kulya,Kula,,Amchi,Amchi,,,
VB_002_DRINK,verbs,verbs,drink,kunywa,verb,verb,,action,Liquid consumption,Madho,G?nyua,K?nyua,Kunywa,Machi,Anyit,Kunywa,Kunywa,Cabida,Dhuguu,Kunywa,Kunywa,Kunywa,G?nyua,Kunywa,Onywa,Piinaa,,G?nyua,,,,,Anyit,Kunywa,,Amam,Kunywa,Kunywa,,Machi,Machi,,,
VB_003_SLEEP,verbs,verbs,sleep,kulala,verb,verb,,action,Rest,Nindo,G?ikara,K?lala,Kulala,Nech,Aiser,Kulala,Kulala,Seexasho,Ciisuu,Kulala,Kulala,Kulala,K?lala,Kulala,Olala,Sonaa,,K?lala,,,,,Aiser,Lala,,Akiruk,Kulala,Kulala,,Nech,Nech,,,
VB_004_WAKE,verbs,verbs,wake/wake up,kuamka,verb,verb,,action,Start day,Aa,G?uka,K?uka,Kuamuka,Yoch,Aitore,Kuamka,Kuamka,Toosasho,Ka'uu,Kuamka,Kuamka,Kuamka,K?uka,Kuamka,Oamuka,Jagnaaa,,K?uka,,,,,Aitore,Amka,,,Kuamuka,Kuamka,,Yoch,Yoch,,,
VB_005_WALK,verbs,verbs,walk,kutembea,verb,verb,,action,Movement,Wuotho,G?tembea,Kwona,Kutembea,Tuiyei,Atembea,Kutembea,Kutembea,Socodka,Deemuu,Kutembea,Kutembea,Kutembea,G?tembea,Kutembea,Otembera,Chalnaa,,G?tembea,,,,,Atembea,Tembea,,Akwat,Kutembea,Kutembea,,Tuiyei,Tuiyei,,,
VB_006_RUN,verbs,verbs,run,kukimbia,verb,verb,,action,Movement,Ringo,G?kimbia,Kwona ng?,Kukimbia,Tigei,Akimbia,Kukimbia,Kukimbia,Orodka,Fiiguu,Kukimbia,Kukimbia,Kukimbia,G?kimbia,Kukimbia,Okimbia,Dournaa,,G?kimbia,,,,,Akimbia,Kimbia,,Apal,Kukimbia,Kukimbia,,Tigei,Tigei,,,
VB_007_JUMP,verbs,verbs,jump,kuruka,verb,verb,,action,Movement,Lam,G?ruka,Kuruka,Kuruka,Timei,Aruka,Kuruka,Kuruka,Boodashada,Waraabuu,Kuruka,Kuruka,Kuruka,Kuruka,Kuruka,Oruka,Kudnaa,,Kuruka,,,,,Aruka,Ruka,,,Kuruka,Kuruka,,Timei,Timei,,,
VB_008_SIT,verbs,verbs,sit,kuketi,verb,verb,,action,Position,Bed,G?ikara,Kwikala,Kuketi,Neyei,Adung,Kuketi,Kuketi,Fadhiisasho,Teessuu,Kuketi,Kuketi,Kuketi,G?ikara,Kuketi,Oikara,Baithnaa,,G?ikara,,,,,Adung,Keti,,Akung,Kuketi,Kuketi,,Neyei,Neyei,,,
VB_009_STAND,verbs,verbs,stand,kusimama,verb,verb,,action,Position,Chung',G?simama,Kusimama,Kusimama,Ngei,Asimama,Kusimama,Kusimama,Taagan,Dhaabachuu,Kusimama,Kusimama,Kusimama,G?simama,Kusimama,Osimama,Khardaa honaa,,G?simama,,,,,Asimama,Simama,,Atur,Kusimama,Kusimama,,Ngei,Ngei,,,
VB_010_WORK,verbs,verbs,work,kufanya kazi,verb,verb,,action,Labor,Tij,G?kora wira,Kwosa,Kufanya kazi,Konyei,Afanya kazi,Kufanya kazi,Kufanya kazi,Shaqada,Hojii,Kufanya kazi,Kufanya kazi,Kufanya kazi,G?kora wira,Kufanya kazi,Okora ebiakwa,Kaam karnaa,,G?kora wira,,,,,Afanya kazi,Fanya kazi,,Aros,Kufanya kazi,Kufanya kazi,,Konyei,Konyei,,,
DA_001_BIG,descriptives,descriptives,big,kubwa,adjective,adjective,,size,Dimension,Maduong',Nene,Nene,Enene,Suge,Nabo,Kubwa,Kubwa,Weyn,Guddaa,Kubwa,Kubwa,Kubwa,Nene,Kubwa,Nene,Baraa,,Nene,,,,,Nabo,Kubwa / Mkubwa,,Akwap,Enene,Kubwa,,Suge,Suge,,,
DA_002_SMALL,descriptives,descriptives,small,ndogo,adjective,adjective,,size,Dimension,Matin,Nini,Nini,Enini,Bek,Keri,Ndogo,Ndogo,Yar,Xiqqaa,Ndogo,Ndogo,Ndogo,Nini,Ndogo,Nini,Chhotaa,,Nini,,,,,Keri,Ndogo / Kadogo,,Ngikelio,Enini,Ndogo,,Bek,Bek,,,
DA_003_GOOD,descriptives,descriptives,good,nzuri,adjective,adjective,,quality,Evaluation,Maber,Wega,Wea,Obulweka,Imet,Sidai,Nzuri,Nzuri,Wanaagsan,Gaarii,Nzuri,Nzuri,Nzuri,Wega,Nzuri,Bwangu,Achchaa,,Wega,,,,,Sidai,Poa / Sawa,,Ber,Obulweka,Nzuri,,Imet,Imet,,,
DA_004_BAD,descriptives,descriptives,bad,mbaya,adjective,adjective,,quality,Evaluation,Marach,Thiiri,Mbii,Ebibi,Mising,Oolcher,Mbaya,Mbaya,Xun,Badaa,Mbaya,Mbaya,Mbaya,Thiiri,Mbaya,Rieba,Bura,,Thiiri,,,,,Oolcher,Mbaya / Baya,,,Ebibi,Mbaya,,Mising,Mising,,,
DA_005_HOT,descriptives,descriptives,hot,moto,adjective,adjective,,temperature,Thermal,Liet,?noru,Wea,Obushishi,Momeet,Enkiama,Moto,Moto,Kulul,Ho'aa,Moto,Moto,Moto,?noru,Moto,Omotooro,Garm,,?noru,,,,,,Moto,,Ekeny,Obushishi,Moto,,Momeet,Momeet,,,
DA_006_COLD,descriptives,descriptives,cold,baridi,adjective,adjective,,temperature,Thermal,Ngich,Th??,Th?,Obusiisi,Komoywet,Enkiama,Baridi,Baridi,Qabow,Qabanaawaa,Baridi,Baridi,Baridi,Th??,Baridi,Ebisiisi,Thandaa,,Th??,,,,,,Baridi,,,Obusiisi,Baridi,,Komoywet,Komoywet,,,
DA_007_NEW,descriptives,descriptives,new,mpya,adjective,adjective,,age,Temporal,Manyien,M?eru,M?eru,Empya,Psaet,Enkiama,Mpya,Mpya,Cusub,Haaraa,Mpya,Mpya,Mpya,M?eru,Mpya,Empya,Nayaa,,M?eru,,,,,,Mpya,,,Empya,Mpya,,Psaet,Psaet,,,
DA_008_OLD,descriptives,descriptives,old,kale/mzee,adjective,adjective,,age,Temporal,Machon,G?th?,K??,Ekhosi,Ngwenyit,Enkiama,Kale / Zamani,Kale,Gabow,Moofaa,Kale,Kale,Kale,G?th?,Kale,Ekhosi,Puraanaa,,G?th?,,,,,,Zamani / Kale,,,Ekhosi,Kale,,Ngwenyit,Ngwenyit,,,
DA_009_FAST,descriptives,descriptives,fast,haraka,adjective,adjective,,speed,Pace,Piyo,Nduhar?ru,Ng?,Obulayi,Ketit,Toromu,Haraka,Haraka,Dhaqso,Saffisaa,Haraka,Haraka,Haraka,Nduhar?ru,Haraka,Haraka,Jaldii,,Nduhar?ru,,,,,Toromu,Haraka,,Ngikatum,Obulayi,Haraka,,Ketit,Ketit,,,
DA_010_SLOW,descriptives,descriptives,slow,polepole,adjective,adjective,,speed,Pace,Mos,Pokapoka,Pookapoka,Obushishi,Komit,Nkiama,Polepole,Polepole,Gaabis,Gidgiddaa,Polepole,Polepole,Polepole,Pokapoka,Polepole,Polepole,Dhiire,,Pokapoka,,,,,,Pole / Polepole,,,Obushishi,Polepole,,Komit,Komit,,,
