concept_id,semantic_pack,domain,english_gloss,swahili_gloss,luo,ki,kam,luy,kal,mas,dav,tvs,som,orm,notes
"HLT_008_HEART","health","body","heart","moyo",,,,,,,,,,,"Vital organ"
"HLT_009_STOMACH","health","body","stomach","tumboni",,,,,,,,,,,"Digestive organ"
"HLT_010_SICK","health","health","sick","mgonjwa",,,,,,,,,,,"In poor health"
"HLT_011_PAIN","health","health","pain","maumivu",,,,,,,,,,,"Physical discomfort"
"HLT_012_DOCTOR","health","health","doctor","daktari",,,,,,,,,,,"Medical practitioner"
"HLT_013_HOSPITAL","health","health","hospital","hospitali",,,,,,,,,,,"Medical facility"
"HLT_014_MEDICINE","health","health","medicine","dawa",,,,,,,,,,,"Therapeutic substance"
"HLT_015_BLOOD","health","body","blood","mkwaju",,,,,,,,,,,"Body fluid"
"CLR_001_RED","colors","appearance","red","nyekundu",,,,,,,,,,,"Primary color, warm"
"CLR_002_BLUE","colors","appearance","blue","bluu",,,,,,,,,,,"Primary color, cool"
"CLR_003_GREEN","colors","appearance","green","kijani",,,,,,,,,,,"Primary color, nature-associated"
"CLR_004_YELLOW","colors","appearance","yellow","njano",,,,,,,,,,,"Primary color, bright"
"CLR_005_BLACK","colors","appearance","black","nyeusi",,,,,,,,,,,"Absence of light"
"CLR_006_WHITE","colors","appearance","white","nyeupe",,,,,,,,,,,"Presence of light"
"CLR_007_ORANGE","colors","appearance","orange","machungwa",,,,,,,,,,,"Secondary color, between red and yellow"
"CLR_008_PURPLE","colors","appearance","purple","zambarau",,,,,,,,,,,"Secondary color, between red and blue"
"CLR_009_BROWN","colors","appearance","brown","kahawia",,,,,,,,,,,"Earth tone"
"CLR_010_GRAY","colors","appearance","gray","kijivu",,,,,,,,,,,"Neutral tone between black and white"
"CLR_011_PINK","colors","appearance","pink","nyambingu",,,,,,,,,,,"Light red variant"
"CLR_012_GOLD","colors","appearance","gold","dhahabu",,,,,,,,,,,"Precious metal color"
