"concept_id","semantic_pack","domain","english_gloss","swahili_gloss","part_of_speech","category","phrase_type","tags","notes","luo","ki","kam","luy","kal","mas","dav","tvs","som","orm"
"HLT_003_NOSE","health","body","nose","pua","noun","health","","[""body"",""core""]","Organ of smell","","","","","","","","","",""
"HLT_004_MOUTH","health","body","mouth","kinywa","noun","health","","[""body"",""core""]","Oral cavity","","","","","","","","","",""
"HLT_005_HAND","health","body","hand","mkono","noun","health","","[""body"",""core""]","Upper limb extremity","","","","","","","","","",""
"HLT_006_LEG","health","body","leg","mguu","noun","health","","[""body"",""core""]","Lower limb extremity","","","","","","","","","",""
"HLT_007_FOOT","health","body","foot","kiguu","noun","health","","[""body"",""core""]","Lowest body part","","","","","","","","","",""
"HLT_008_HEART","health","body","heart","moyo","noun","health","","[""body"",""organ""]","Vital organ","","","","","","","","","",""
"HLT_009_STOMACH","health","body","stomach","tumboni","noun","health","","[""body"",""organ""]","Digestive organ","","","","","","","","","",""
"HLT_010_SICK","health","health","sick","mgonjwa","adjective","health","","[""health"",""condition""]","In poor health","","","","","","","","","",""
"HLT_011_PAIN","health","health","pain","maumivu","noun","health","","[""health"",""symptom""]","Physical discomfort","","","","","","","","","",""
"HLT_012_DOCTOR","health","health","doctor","daktari","noun","health","","[""health"",""professional""]","Medical practitioner","","","","","","","","","",""
"HLT_013_HOSPITAL","health","health","hospital","hospitali","noun","health","","[""health"",""facility""]","Medical facility","","","","","","","","","",""
"HLT_014_MEDICINE","health","health","medicine","dawa","noun","health","","[""health"",""treatment""]","Therapeutic substance","","","","","","","","","",""
"HLT_015_BLOOD","health","body","blood","mkwaju","noun","health","","[""body"",""fluid""]","Body fluid","","","","","","","","","",""
"CLR_001_RED","colors","appearance","red","nyekundu","adjective","colors","","[""primary"",""basic""]","Primary color, warm","","","","","","","","","",""
"CLR_002_BLUE","colors","appearance","blue","bluu","adjective","colors","","[""primary"",""basic""]","Primary color, cool","","","","","","","","","",""
"CLR_003_GREEN","colors","appearance","green","kijani","adjective","colors","","[""primary"",""basic""]","Primary color, nature-associated","","","","","","","","","",""
"CLR_004_YELLOW","colors","appearance","yellow","njano","adjective","colors","","[""primary"",""basic""]","Primary color, bright","","","","","","","","","",""
"CLR_005_BLACK","colors","appearance","black","nyeusi","adjective","colors","","[""achromatic"",""basic""]","Absence of light","","","","","","","","","",""
"CLR_006_WHITE","colors","appearance","white","nyeupe","adjective","colors","","[""achromatic"",""basic""]","Presence of light","","","","","","","","","",""
"CLR_007_ORANGE","colors","appearance","orange","machungwa","adjective","colors","","[""secondary""]","Secondary color, between red and yellow","","","","","","","","","",""
"CLR_008_PURPLE","colors","appearance","purple","zambarau","adjective","colors","","[""secondary""]","Secondary color, between red and blue","","","","","","","","","",""
"CLR_009_BROWN","colors","appearance","brown","kahawia","adjective","colors","","[""earth"",""warm""]","Earth tone","","","","","","","","","",""
"CLR_010_GRAY","colors","appearance","gray","kijivu","adjective","colors","","[""achromatic""]","Neutral tone between black and white","","","","","","","","","",""
"CLR_011_PINK","colors","appearance","pink","nyambingu","adjective","colors","","[""light"",""warm""]","Light red variant","","","","","","","","","",""
"CLR_012_GOLD","colors","appearance","gold","dhahabu","adjective","colors","","[""precious"",""warm""]","Precious metal color","","","","","","","","","",""
