concept_id,semantic_pack,domain,english_gloss,swahili_gloss,part_of_speech,category,phrase_type,tags,notes
"CL_003_DRESS","clothing","clothing","dress","gauni","noun","noun",,"garment","Full body"
"CL_004_HAT","clothing","clothing","hat","kofia","noun","noun",,"accessory","Head covering"
"CL_005_SHOE","clothing","clothing","shoe","kiapu/viatu","noun","noun",,"footwear","Foot protection"
"CL_006_JACKET","clothing","clothing","jacket","jaketi","noun","noun",,"garment","Outer layer"
"CL_007_COAT","clothing","clothing","coat","koti","noun","noun",,"garment","Heavy outer"
"CL_008_SCARF","clothing","clothing","scarf","kanga/kitambaa","noun","noun",,"accessory","Neck/body wrap"
"CL_009_BELT","clothing","clothing","belt","upinde/mkanda","noun","noun",,"accessory","Waist"
"CL_010_SOCKS","clothing","clothing","socks","soksi","noun","noun",,"footwear","Foot covering"
"TL_001_KNIFE","tools","tools","knife","kisu","noun","noun",,"weapon/tool","Sharp tool"
"TL_002_AXE","tools","tools","axe","shoka","noun","noun",,"tool","Chopping"
"TL_003_HAMMER","tools","tools","hammer","nyundo","noun","noun",,"tool","Striking"
"TL_004_ROPE","tools","tools","rope","kamba","noun","noun",,"tool","Binding"
"TL_005_BUCKET","tools","tools","bucket","ndoo","noun","noun",,"container","Carrying water"
"TL_006_POT","tools","tools","pot","sufuria","noun","noun",,"container","Cooking"
"TL_007_PAN","tools","tools","pan","karai","noun","noun",,"container","Cooking"
"TL_008_SPOON","tools","tools","spoon","kijiko","noun","noun",,"utensil","Eating/cooking"
"TL_009_FORK","tools","tools","fork","uma","noun","noun",,"utensil","Eating"
"TL_010_CUP","tools","tools","cup","kikombe","noun","noun",,"container","Drinking"
"VB_001_EAT","verbs","verbs","eat","kula","verb","verb",,"action","Food consumption"
"VB_002_DRINK","verbs","verbs","drink","kunywa","verb","verb",,"action","Liquid consumption"
"VB_003_SLEEP","verbs","verbs","sleep","kulala","verb","verb",,"action","Rest"
"VB_004_WAKE","verbs","verbs","wake/wake up","kuamka","verb","verb",,"action","Start day"
"VB_005_WALK","verbs","verbs","walk","kutembea","verb","verb",,"action","Movement"
"VB_006_RUN","verbs","verbs","run","kukimbia","verb","verb",,"action","Movement"
"VB_007_JUMP","verbs","verbs","jump","kuruka","verb","verb",,"action","Movement"
"VB_008_SIT","verbs","verbs","sit","kuketi","verb","verb",,"action","Position"
"VB_009_STAND","verbs","verbs","stand","kusimama","verb","verb",,"action","Position"
"VB_010_WORK","verbs","verbs","work","kufanya kazi","verb","verb",,"action","Labor"
"DA_001_BIG","descriptives","descriptives","big","kubwa","adjective","adjective",,"size","Dimension"
"DA_002_SMALL","descriptives","descriptives","small","ndogo","adjective","adjective",,"size","Dimension"
"DA_003_GOOD","descriptives","descriptives","good","nzuri","adjective","adjective",,"quality","Evaluation"
"DA_004_BAD","descriptives","descriptives","bad","mbaya","adjective","adjective",,"quality","Evaluation"
"DA_005_HOT","descriptives","descriptives","hot","moto","adjective","adjective",,"temperature","Thermal"
"DA_006_COLD","descriptives","descriptives","cold","baridi","adjective","adjective",,"temperature","Thermal"
"DA_007_NEW","descriptives","descriptives","new","mpya","adjective","adjective",,"age","Temporal"
"DA_008_OLD","descriptives","descriptives","old","kale/mzee","adjective","adjective",,"age","Temporal"
"DA_009_FAST","descriptives","descriptives","fast","haraka","adjective","adjective",,"speed","Pace"
"DA_010_SLOW","descriptives","descriptives","slow","polepole","adjective","adjective",,"speed","Pace"
